Golgi control,Golgi atg7ko,Mito,Mito atg7ko,ER,ER atg7ko,Endosome,Endosome atg7ko,Nucleus,Nucleus atg7ko,Lysosome,Lysosome atg7ko,PM,PM atg7ko
0.296593,0.102735,0.163339,0.000469047,-0.277805,0.174838,0.203894,0.136954,-0.318607,0.170733,0.0544542,0.0699046,-0.15813,-0.0286964
-0.164613,0.0894286,0.151276,-0.114293,0.0353324,0.0993793,0.116884,0.0791557,-0.0743418,-0.120206,-0.00135655,-0.184915,-0.0817405,-0.0726338
0.262807,0.00461946,-0.0614823,0.102042,0.0772013,-0.090837,0.0119921,0.188888,-0.174989,-0.264074,-0.141944,0.298765,-0.0210478,-0.17699
0.129083,0.270055,0.156079,0.0877317,-0.173112,0.271015,-0.0473352,0.024871,0.00591226,-0.0591795,0.111595,0.0506149,0.0431907,0.0155855
-0.243375,-0.183067,0.11547,0.0298814,-0.139082,0.0349196,0.0373824,0.0820001,0.28951,-0.11015,0.129416,-0.121193,0.347916,0.160757
-0.174816,0.0475057,0.106066,0.00727912,-0.631016,-0.0793794,0.0857425,0.100132,0.196951,0.336714,0.0238738,0.0824984,0.0875023,0.111423
-0.0637961,0.160608,0.0419438,0.0643216,-0.0218666,-0.369154,-0.21888,-0.151929,0.116502,0.0509804,-0.00395379,0.0682093,-0.225693,-0.332444
-0.17694,-0.0103658,-0.0507144,0.153156,-0.0771513,0.168298,0.13051,0.111199,-0.138179,0.0541015,-0.376812,-0.153512,0.0781545,0.0494169
-0.390469,0.0496434,0.2247,0.118708,-0.0830483,0.130036,0.00799723,0.0238727,-0.446589,-0.182438,0.0896849,-0.0412371,-0.0227917,-0.0104664
-0.13145,0.175175,0.22381,0.0272673,-0.0620931,0.0763049,-0.0648049,0.0521866,-0.109048,-0.571583,0.107787,0.0567499,0.292876,0.0467508
-0.264739,0.0400044,0.121999,0.0928505,0.0314512,0.123405,-0.0902329,0.026133,-0.44956,-0.0610758,,0.116037,0.0849626,0.100114
-0.156591,-0.0109029,0.120072,0.0992016,-0.0915463,0.0981822,0.142726,0.0546498,0.182403,-0.253534,,-0.810059,-0.0606552,-0.193741
-0.100424,0.0637145,0.202135,0.117764,0.0233239,0.00000239,0.0737204,0.113601,-0.631481,-0.0906133,,0.0530318,0.0168,-0.0278149
-0.310233,0.157985,0.170598,0.139543,-0.186714,0.175241,-0.472776,-0.086347,0.0641076,-0.309576,,-0.0682269,0.124059,-0.0821049
0.0569451,0.187268,0.241492,0.16689,0.107286,-0.169819,-0.753703,0.0662382,-0.0604008,0.226123,,,0.188709,0.0473652
-0.324351,0.127815,0.252598,0.0825965,0.115357,0.0806106,-0.167892,-0.171995,-0.0597141,-2.52355,,,-0.0965117,0.136759
-0.436484,-0.0299147,0.13677,0.00337654,-0.275088,0.0386896,0.092005,0.0535193,0.0334529,-0.585572,,,-0.0492798,0.071012
-0.367686,0.012883,0.0622537,0.0125807,0.0766565,0.0157033,-0.0359504,0.00655427,0.176946,-0.0588253,,,0.218545,-0.14469
,0.0250664,0.0754539,0.127576,-0.222522,0.00368496,0.0200909,-0.0158226,0.103075,-0.138545,,,0.105639,-0.00399752
,-0.0834182,0.242232,0.138161,-0.16968,-0.0948686,-0.107077,0.143487,0.0791921,-0.0196301,,,0.0418281,-0.00171854
,0.245268,0.148674,-0.444494,-0.0598283,-0.256075,-0.241574,0.000816481,0.259502,-0.295098,,,0.0102909,-0.139058
,0.244787,-0.340282,0.105112,-0.107147,0.0742123,0.090034,-0.0857771,0.0875935,-0.127598,,,0.256076,0.0248839
,,0.216023,0.105717,-0.0928845,0.121864,0.0186923,0.0841488,0.0164721,0.111732,,,0.0230855,0.117193
,,0.216078,-0.0205189,-0.240723,0.0603933,0.0690304,0.055809,-0.00309887,0.116286,,,0.288437,0.0951753
,,0.0502352,-0.507209,0.0377886,-0.175293,-0.159827,-0.00943051,0.0193542,0.30496,,,0.0998822,-0.036836
,,-0.564625,0.225102,-0.669009,-0.118368,-0.479496,-0.063138,0.0243038,0.0148023,,,-0.266644,-0.311399
,,0.314494,0.234972,-0.125106,0.134287,0.150789,-0.282966,0.133651,-0.154648,,,-0.209228,0.0177086
,,0.203098,-0.0762942,-0.0639868,0.10459,0.254717,-0.0891425,0.319315,0.0302144,,,-0.00768119,0.124821
,,0.247683,0.158944,-0.179393,0.262228,0.162578,0.430962,0.0248896,0.10574,,,0.156351,0.135706
,,0.0810689,-0.0043359,-0.0682041,0.0332122,0.051927,0.194849,-0.109388,0.222,,,0.22883,0.0407285
,,0.127443,0.0265151,-0.128158,0.060721,0.0300721,-0.0528683,-0.260135,0.105598,,,-0.233636,-0.287218
,,0.158815,-0.00906038,-0.00508195,0.131922,-0.0343162,0.0171843,0.0444051,0.200413,,,-0.272332,-0.350776
,,-0.122274,-0.241814,-0.0308995,0.0945742,0.0431806,0.0117268,0.127299,0.000170692,,,-0.174135,-0.234617
,,0.238664,0.1576,-0.184423,0.127183,-0.613968,0.0289471,0.239218,-0.0973748,,,0.121727,0.0463853
